Date,Open,High,Low,Close,Adj Close,Volume
2022-12-15,4720.000000,4720.000000,4640.000000,4700.000000,4460.819336,11297400
2022-12-16,4690.000000,4870.000000,4660.000000,4870.000000,4622.168457,25213200
2022-12-19,4830.000000,4830.000000,4730.000000,4730.000000,4489.292969,16789200
2022-12-20,4730.000000,4770.000000,4700.000000,4770.000000,4527.256836,5433100
2022-12-21,4770.000000,4790.000000,4740.000000,4780.000000,4536.748535,5871100
2022-12-22,4780.000000,4840.000000,4770.000000,4840.000000,4593.694824,10005000
2022-12-23,4830.000000,4830.000000,4760.000000,4820.000000,4574.712402,5698800
2022-12-26,4820.000000,4820.000000,4740.000000,4750.000000,4508.274902,4053500
2022-12-27,4760.000000,4810.000000,4740.000000,4810.000000,4565.221680,6738300
2022-12-28,4810.000000,4820.000000,4710.000000,4770.000000,4527.256836,7938100
2022-12-29,4740.000000,4760.000000,4700.000000,4760.000000,4517.766113,6825900
2022-12-30,4780.000000,4780.000000,4700.000000,4700.000000,4460.819336,13027100
2023-01-02,4700.000000,4700.000000,4610.000000,4620.000000,4384.890625,4266600
2023-01-03,4600.000000,4650.000000,4570.000000,4600.000000,4365.908203,10663500
2023-01-04,4610.000000,4690.000000,4610.000000,4640.000000,4403.873047,6705200
2023-01-05,4650.000000,4730.000000,4600.000000,4730.000000,4489.292969,12524500
2023-01-06,4720.000000,4760.000000,4670.000000,4760.000000,4517.766113,8390300
2023-01-09,4760.000000,4770.000000,4690.000000,4760.000000,4517.766113,7932200
2023-01-10,4760.000000,4770.000000,4660.000000,4690.000000,4451.328613,13402300
2023-01-11,4680.000000,4700.000000,4640.000000,4700.000000,4460.819336,5806200
2023-01-12,4700.000000,4760.000000,4660.000000,4760.000000,4517.766113,11533000
2023-01-13,4750.000000,4790.000000,4720.000000,4790.000000,4546.239258,7554200
2023-01-16,4790.000000,4800.000000,4750.000000,4770.000000,4527.256836,6778300
2023-01-17,4770.000000,4800.000000,4720.000000,4760.000000,4517.766113,12333700
2023-01-18,4760.000000,4800.000000,4720.000000,4800.000000,4555.730957,5977900
2023-01-19,4800.000000,4830.000000,4770.000000,4800.000000,4555.730957,7752900
2023-01-20,4800.000000,4830.000000,4760.000000,4810.000000,4565.221680,6893400
2023-01-24,4810.000000,4850.000000,4790.000000,4830.000000,4584.204102,9638600
2023-01-25,4830.000000,4860.000000,4810.000000,4850.000000,4603.186523,6010000
2023-01-26,4850.000000,4870.000000,4760.000000,4800.000000,4555.730957,10397400
2023-01-27,4800.000000,4820.000000,4750.000000,4750.000000,4508.274902,12410500
2023-01-30,4750.000000,4780.000000,4710.000000,4760.000000,4517.766113,8435700
2023-01-31,4760.000000,4760.000000,4660.000000,4660.000000,4422.855469,26752500
2023-02-01,4630.000000,4680.000000,4620.000000,4630.000000,4394.381836,14128700
2023-02-02,4630.000000,4740.000000,4630.000000,4730.000000,4489.292969,23504300
2023-02-03,4740.000000,4740.000000,4680.000000,4690.000000,4451.328613,8988300
2023-02-06,4690.000000,4730.000000,4660.000000,4730.000000,4489.292969,5956100
2023-02-07,4730.000000,4890.000000,4720.000000,4860.000000,4612.677246,19128400
2023-02-08,4860.000000,5025.000000,4810.000000,5025.000000,4769.280273,28304900
2023-02-09,5025.000000,5050.000000,4920.000000,4920.000000,4669.624023,25346700
2023-02-10,4770.000000,4770.000000,4580.000000,4580.000000,4346.926270,80984400
2023-02-13,4580.000000,4580.000000,4490.000000,4520.000000,4289.979492,29413500
2023-02-14,4520.000000,4570.000000,4520.000000,4560.000000,4327.943848,15661400
2023-02-15,4560.000000,4560.000000,4500.000000,4550.000000,4318.452637,12590200
2023-02-16,4550.000000,4560.000000,4510.000000,4520.000000,4289.979492,7598500
2023-02-17,4520.000000,4530.000000,4480.000000,4510.000000,4280.488770,13591200
2023-02-20,4520.000000,4560.000000,4500.000000,4540.000000,4308.961426,6671700
2023-02-21,4540.000000,4540.000000,4500.000000,4500.000000,4270.997559,9337400
2023-02-22,4490.000000,4490.000000,4380.000000,4480.000000,4252.015625,17514500
2023-02-23,4490.000000,4490.000000,4400.000000,4400.000000,4176.085938,12166800
2023-02-24,4400.000000,4440.000000,4350.000000,4350.000000,4128.630859,13276600
2023-02-27,4350.000000,4350.000000,4210.000000,4300.000000,4081.175293,25283100
2023-02-28,4300.000000,4320.000000,4180.000000,4180.000000,3967.281982,56167600
2023-03-01,4170.000000,4200.000000,4110.000000,4150.000000,3938.808594,20343000
2023-03-02,4160.000000,4220.000000,4150.000000,4150.000000,3938.808594,18391700
2023-03-03,4150.000000,4170.000000,4050.000000,4060.000000,3853.388672,25480200
2023-03-06,4080.000000,4190.000000,4070.000000,4170.000000,3957.791016,18877200
2023-03-07,4160.000000,4160.000000,4080.000000,4080.000000,3872.370850,20025900
2023-03-08,4080.000000,4120.000000,4060.000000,4100.000000,3891.353271,9159100
2023-03-09,4100.000000,4140.000000,4080.000000,4100.000000,3891.353271,12777500
2023-03-10,4100.000000,4140.000000,4080.000000,4110.000000,3900.844482,6405200
2023-03-13,4090.000000,4180.000000,4080.000000,4160.000000,3948.299805,10109400
2023-03-14,4140.000000,4240.000000,4130.000000,4210.000000,3995.755127,20377200
2023-03-15,4210.000000,4230.000000,4100.000000,4100.000000,3891.353271,11897200
2023-03-16,4100.000000,4120.000000,4040.000000,4070.000000,3862.879639,9016800
2023-03-17,4070.000000,4170.000000,4070.000000,4160.000000,3948.299805,25725700
2023-03-20,4160.000000,4170.000000,4100.000000,4160.000000,3948.299805,3705900
2023-03-21,4160.000000,4200.000000,4150.000000,4200.000000,3986.264160,7708900
2023-03-24,4370.000000,4370.000000,4240.000000,4270.000000,4052.701904,16680100
2023-03-27,4270.000000,4290.000000,4230.000000,4290.000000,4071.684326,6187200
2023-03-28,4290.000000,4320.000000,4280.000000,4300.000000,4081.175293,5785600
2023-03-29,4300.000000,4370.000000,4300.000000,4360.000000,4138.122070,12264000
2023-03-30,4360.000000,4370.000000,4260.000000,4260.000000,4043.210938,5407700
2023-03-31,4270.000000,4360.000000,4260.000000,4350.000000,4128.630859,10607100
2023-04-03,4350.000000,4350.000000,4250.000000,4290.000000,4071.684326,8983700
2023-04-04,4280.000000,4290.000000,4220.000000,4290.000000,4071.684326,14526800
2023-04-05,4290.000000,4320.000000,4250.000000,4250.000000,4033.719727,7687900
2023-04-06,4250.000000,4290.000000,4230.000000,4250.000000,4033.719727,5191100
2023-04-10,4250.000000,4290.000000,4230.000000,4290.000000,4071.684326,5001000
2023-04-11,4290.000000,4290.000000,4200.000000,4200.000000,3986.264160,8782600
2023-04-12,4210.000000,4220.000000,4180.000000,4190.000000,3976.773193,12391300
2023-04-13,4160.000000,4180.000000,4100.000000,4100.000000,3891.353271,15132500
2023-04-14,4120.000000,4220.000000,4120.000000,4150.000000,3938.808594,20757900
2023-04-17,4160.000000,4180.000000,4090.000000,4130.000000,3919.826416,11180200
2023-04-18,4130.000000,4150.000000,4090.000000,4090.000000,3881.862061,8436800
2023-04-26,4090.000000,4100.000000,3960.000000,4100.000000,3891.353271,32563400
2023-04-27,4150.000000,4470.000000,4150.000000,4400.000000,4176.085938,65436100
2023-04-28,4400.000000,4440.000000,4360.000000,4400.000000,4176.085938,14421200
2023-05-02,4400.000000,4410.000000,4280.000000,4400.000000,4176.085938,11600900
2023-05-03,4400.000000,4420.000000,4350.000000,4400.000000,4176.085938,18996600
2023-05-04,4400.000000,4480.000000,4400.000000,4450.000000,4223.541504,15745000
2023-05-05,4450.000000,4490.000000,4390.000000,4490.000000,4261.506348,19170300
2023-05-08,4480.000000,4490.000000,4430.000000,4470.000000,4242.523926,8305100
2023-05-09,4470.000000,4470.000000,4360.000000,4390.000000,4166.595215,13264100
2023-05-10,4420.000000,4500.000000,4400.000000,4500.000000,4270.997559,12468600
2023-05-11,4500.000000,4500.000000,4370.000000,4430.000000,4204.559570,10646000
2023-05-12,4430.000000,4430.000000,4370.000000,4400.000000,4176.085938,7003400
2023-05-15,4450.000000,4530.000000,4400.000000,4500.000000,4270.997559,17448600
2023-05-16,4500.000000,4510.000000,4460.000000,4510.000000,4280.488770,6163000
2023-05-17,4500.000000,4510.000000,4420.000000,4460.000000,4233.033203,8527400
2023-05-19,4460.000000,4500.000000,4430.000000,4430.000000,4204.559570,10102700
2023-05-22,4430.000000,4480.000000,4390.000000,4420.000000,4195.068359,10990800
2023-05-23,4420.000000,4480.000000,4420.000000,4450.000000,4223.541504,15329600
2023-05-24,4450.000000,4450.000000,4390.000000,4410.000000,4185.577637,0
2023-05-25,4410.000000,4450.000000,4370.000000,4410.000000,4185.577637,16244400
2023-05-26,4410.000000,4430.000000,4380.000000,4380.000000,4157.103516,8749200
2023-05-29,4400.000000,4550.000000,4380.000000,4550.000000,4318.452637,26644200
2023-05-30,4550.000000,4600.000000,4510.000000,4540.000000,4308.961426,14103700
2023-05-31,4540.000000,4580.000000,4500.000000,4530.000000,4299.470703,221662700
2023-06-05,4530.000000,4550.000000,4460.000000,4500.000000,4270.997559,14140400
2023-06-06,4500.000000,4510.000000,4440.000000,4460.000000,4233.033203,6400200
2023-06-07,4470.000000,4570.000000,4460.000000,4570.000000,4337.435059,30637600
2023-06-08,4570.000000,4630.000000,4540.000000,4600.000000,4365.908203,15742600
2023-06-09,4580.000000,4600.000000,4540.000000,4550.000000,4318.452637,11332500
2023-06-12,4590.000000,4610.000000,4560.000000,4610.000000,4375.399414,8165300
2023-06-13,4610.000000,4630.000000,4480.000000,4510.000000,4280.488770,19167100
2023-06-14,4500.000000,4510.000000,4410.000000,4440.000000,4214.050781,13107000
2023-06-15,4440.000000,4520.000000,4410.000000,4520.000000,4289.979492,10369100
2023-06-16,4500.000000,4500.000000,4390.000000,4390.000000,4166.595215,17780000
2023-06-19,4390.000000,4420.000000,4320.000000,4380.000000,4157.103516,10327500
2023-06-20,4380.000000,4390.000000,4300.000000,4300.000000,4081.175293,14414700
